hy	hij
kleedinge	kleding
inder	in_der
iesua	jesua
iephtah	jefta
iebusiten	jebusieten
hoofts	hoofds
heyligh	heilig
haerlieden	hen
gewoont	gewoond
geleydt	geleid
daeghs	dag
dack	dak
cieraet	sieraad
beth-el	bethel
baals	baäl
yseren	ijzeren
ydel	ijdel
wildernisse	wildernis
wedergeven	wedergeven
wechnemen	wegnemen
voorhofs	voorhof
verstroyen	verstrooien
vercondigen	verkondigen
swack	zwak
steets	steeds
singen	zingen
rock	rok
oogenblick	ogenblik
nieuwen	nieuwen
kop	hoofd
iohanan	johanan
iizreël	jizreël
hooftman	hoofdman
hooch	hoog
getale	getal
gesette	gezette
gesett	gezet
galileen	galilea
eeuwichlick	eeuwiglijk
eenmael	eenmaal
derwaerts	derwaarts
danck-offeren	dankoffers
bysonder	bijzonder
bosschen	bossen
beweeght	bewogen
altoos	altoos
alsmen	als_men
alreede	alrede
weerdich	waard
wederpartijders	tegenstanders
vredes	vredes
vraeghden	vroegen
voor-steden	weidegronden
verbrant	verbrand
uytgangen	uitgangen
swart	zwart
suyden	zuiden
smaet	smaad
rechter-hant	rechterhand
ontfanght	ontvangt
morgenstont	morgenstond
mach	mag
lesen	lezen
laett	laat
iojakim	jojakim
hitticheyt	hittigheid
getuychenisse	getuigenis
gesondight	gezondigd
gescheurt	gescheurd
gemeynschap	gemeenschap
drooge	droge
dienaer	dienaar
daegs	dag
bekleedt	bekleed
barmherticheden	barmhartigheden
amalekiten	amalekieten
wout	woud
weynige	weinige
wederbrengen	wederbrengen
wandelende	wandelende
vyeroffer	vuuroffer
verweckt	verwekt
swoer	zwoer
sullender	zullen_er
stroomen	stromen
stack	stak
satt	zat
sal't	zal_het
roepe	roep
richtede	richtte
rechtveerdigh	rechtvaardig
philistijn	filistijn
noyt	nooit
majesteyt	majesteit
levendige	levende
kleynen	kleinen
hoereryen	hoererijen
gouts	gouds
gevloden	gevloden
egypten-lande	land_egypte
druyven	druiven
dranck-offer	drankoffer
dragende	dragende
conscientie	geweten
connen	kunnen
boosen	bozen
bloets	bloeds
blijdtschap	blijdschap
berooven	beroven
bedieninge	bediening
basuynen	bazuinen
aes	aas
aenroepen	aanroepen
zaedt	zaad
ydele	ijdele
welgelucksalich	welzalig
waerachtigh	waarachtig
voorige	vorige
vloeyende	vloeiende
vijve	vijf
verschoonen	verschonen
velde	veld
uytgebluscht	uitgeblust
uwent	uwentwil
trouwlooslick	trouwelooslijk
stercker	sterker
sprengen	sprengen
slacht-offeren	slachtofferen
sitt	zit
sett	zet
set	zet
ruyters	ruiters
raderen	raderen
oft	of
noode	nodig
korah	korach
knyen	knieën
kleynste	kleinste
iudas	judas
ingaet	ingaat
hoocheyt	hoogheid
hoeck	hoek
geschrey	geschrei
gereddet	gered
geheylight	geheiligd
eselen	ezels
ephod	efod
eertijts	eertijds
dootslager	doodslager
desselven	zijn
daerentegen	daarentegen
besocht	bezocht
bergh	berg
bekeeringe	bekering
aenstoot	aanstoot
ackers	akkers
wijders	wijders
vreucht	vreugde
voorhuys	voorhal
volkomene	volkomen
sweerden	zwaarden
swanger	zwanger
sullen’t	zullen
sulck	zulk
sout	zout
smeeckinge	smeking
slincker	linkerhand
sette	zette
sendt	zend
sende	zende
rieten	rieten
richter	rechter
padt	pad
overvloet	overvloed
neuse	neus
nebats	nebat
mercken	merken
male	male
kruypende	kruipend
koninckrijcke	koninkrijk
koeyen	koeien
israëliten	israëlieten
iode	jood
insgelijcks	insgelijks
iabes	jabes
hooge-priester	hogepriester
heylicheden	heiligheden
gesterckt	gesterkt
gerekent	gerekend
gelastert	gelasterd
elias	elias
eeren	eren
dienst-knecht	dienstknecht
afgesondert	afgezonderd
zant	zand
wijt	wijd
weyde	weide
werckers	werkers
wedergekeert	wedergekeerd
voor’t	voor
voorganger	voorganger
voleyndt	voleind
vloecken	vloeken
vertrock	vertrok
verschricken	verschrikken
verhoocht	verhoogd
uytgestreckt	uitgestrekt
toonen	tonen
sulcke	zulke
stock	stok
sotten	zotten
soet	zoet
slinckerhant	linkerhand
slacht-offer	slachtoffer
schult-offer	schuldoffer
schoonheyt	schoonheid
roocken	roken
rolle	rol
paesschen	pascha
oprechticheyt	oprechtheid
offeranden	offeranden
naederde	naderde
meynt	meent
lieflick	liefelijk
levijt	leviet
kranckheyt	krankheid
kleedt	kleed
jonckheyt	jonkheid
ioahaz	joahaz
huyt	huid
hethiten	hethieten
helt	held
heeftse	heeft_ze
haddet	had
giericheyt	gierigheid
geyten-bock	geitenbok
gewenschte	gewenste
gerechtveerdight	gerechtvaardigd
geleght	gelegd
ete	ete
eeuwe	eeuw
edomiten	edomieten
deele	dele
broots	broods
biddet	bidt
biddende	biddende
berchs	bergs
baer-moeder	baarmoeder
antwoorde	antwoord
aenschijn	aanschijn
aennemen	aannemen
abisai	abisai
wouts	wouds
wortelen	wortelen
weese	wees
wanckelen	wankelen
waeckt	waakt
vyants	vijands
vruchtbaer	vruchtbaar
vrolickheyt	vrolijkheid
vremde	vreemde
vreeslick	vreselijk
vreemt	vreemd
voorby	voorbij
vertroostinge	vertroosting
verbeterde	verbeterde
uytgesonden	uitgezonden
trouwe	trouw
slijck	slijk
silverlingen	zilverlingen
seydet	zeidet
sevenmael	zevenmaal
schoone	schone
scheba	scheba
salven	zalven
sabbath-dach	sabbatdag
rooven	roven
reyne	reine
priester-ampt	priesterambt
peert	paard
offerhanden	offeranden
mosis	mozes
macedonien	macedonië
leydde	leidde
lantpalen	landpalen
kostelick	kostelijk
isai	isaï
ioannis	johannes
inwoonder	inwoner
houdende	houdende
hoovaerdye	hovaardij
honderden	honderden
heyre	heire
grendelen	grendelen
goedt	goed
gileads	gilead
gewrocht	gewrocht
gewasschen	gewassen
gesnedene	gesneden
eselinne	ezelin
esaus	ezau
eeuwigen	eeuwigen
eenerley	enerlei
drinckt	drinkt
carmel	karmel
betrouwen	betrouwen
be-erven	beërven
barmhertich	barmhartig
arent	arend
aengeroert	aangeroerd
zidon	sidon
yegelicken	ieder
woone	wone
wiste	wist
wijckt	wijkt
wieroock	wierook
werde	wordt
vryheyt	vrijheid
voor-hof	voorhof
vleeschs	vleses
verstooringe	verstoring
verduystert	verduisterd
valscheyt	valsheid
uytgespreydt	uitgespreid
uytgaet	uitgaat
suyver	zuiver
struyckelen	struikelen
steenigen	stenigen
stae	sta
smeeckingen	smekingen
sittim-hout	sittimhout
reddet	red
quaden	kwaden
philistynen	filistijnen
opgevoert	opgevoerd
openbaringe	openbaring
ontheylicht	ontheiligd
omgekeert	omgekeerd
offerande	offergave
nedergedaelt	nedergedaald
manlick	mannelijk
maacha	maacha
lovet	loof
kostelicke	kostelijke
jaers	jaars
hieldt	hield
heerscher	heerser
harpe	harp
gordijne	gordijn
getweernt	getweernd
getrocken	getrokken
gerste	gerst
gehaet	gehaat
gedoodet	gedood
fonteynen	fonteinen
eerster	eerste
droomen	dromen
dranck-offeren	drankofferen
danck-offer	dankoffer
cores	kores
buycks	buiks
brenget	brengt
bock	bok
blasen	blazen
bereyt	bereid
